,w0,w1,w2,median,mean
0,world,aubin,kemps,3.0,6.096
1,hynde,aglow,sumpt,4.0,8.313
2,torch,skiwy,penal,3.0,6.468
3,twank,flype,visor,5.0,9.991
4,mains,grewt,lucky,3.0,6.374
5,plomb,unais,gyred,3.0,6.08
6,stump,chief,albyn,5.0,8.778
7,alife,potsy,runch,3.0,6.475
8,wicks,tabor,flype,4.0,7.981
9,fixup,vetch,brand,8.0,18.112
10,zygon,mucid,flesh,7.0,18.403
11,trixy,alvus,fodge,6.0,12.04
12,beard,wicks,xylon,5.0,10.156
13,skiwy,lunch,brave,5.0,10.89
14,desyl,girba,mowth,4.0,7.777
15,uncow,zaxes,thrip,5.0,11.345
16,zaxes,thrip,vogul,6.0,12.048
17,drops,cylix,bantu,4.0,7.492
18,updry,aking,mowth,6.0,14.287
19,betso,clink,whaur,3.0,7.255
20,whing,amble,potsy,4.0,9.34
21,unbed,molar,swift,3.0,6.51
22,routh,namby,glisk,4.0,7.919
23,quack,omnes,whirl,5.0,10.312
24,tucks,dowve,blair,4.0,7.804
25,ganch,tombs,deriv,4.0,6.079
26,fixup,bates,horny,5.0,8.461
27,north,cylix,aevum,6.0,12.175
28,coble,wishy,gunda,4.0,10.066
29,lythe,dujan,brigs,4.0,7.41
30,zonal,gyred,swift,4.0,9.087
31,sixte,vogul,brand,4.0,8.506
32,fixup,venal,torcs,5.0,8.853
33,zohak,tydie,slurb,4.0,7.956
34,mabel,sword,kingu,4.0,6.845
35,lovat,herby,mucin,4.0,9.541
36,dargo,swift,belch,4.0,7.055
37,jocum,kilns,begad,5.0,10.201
38,wilts,hocky,ardeb,4.0,7.184
39,tough,admix,newsy,6.0,13.717
40,sabik,volte,runch,3.0,5.991
41,adrop,chums,nizey,4.0,8.53
42,wrong,mutch,fakes,5.0,9.323
43,pleck,azoxy,swift,10.0,26.153
44,limpy,bunks,echar,4.0,8.461
45,jocum,depth,gnaws,7.0,14.572
46,bogus,windz,taver,5.0,9.872
47,bunty,whelm,arock,4.0,11.05
48,drant,fixup,hovel,6.0,13.444
49,acher,dumby,winks,5.0,9.929
50,zohak,fitly,surge,5.0,9.302
51,lanch,upset,dioxy,4.0,8.542
52,budge,lochs,tripy,4.0,7.404
53,fitly,rough,amens,3.0,6.546
54,chins,derma,vogul,3.0,6.8
55,limpy,coran,hefts,3.0,5.885
56,vogul,nifty,kemps,5.0,12.022
57,adrop,tyche,milks,3.0,5.963
58,herbs,fagot,lupid,3.0,6.154
59,zinky,lochs,brave,5.0,10.501
60,pisay,butch,dowve,6.0,12.618
61,drisk,ponga,belch,3.0,6.603
62,jough,bikes,waltz,8.0,15.17
63,zinky,archt,jowed,8.0,19.741
64,gnaws,filmy,hoked,5.0,11.881
65,upget,limns,hoary,3.0,5.262
66,bunty,pisco,haled,3.0,5.856
67,acton,drubs,elymi,3.0,5.717
